Unnamed: 0,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
0,4,0.0,0.88011,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0,0.0,0.00055,0.0,0.0,0.0212,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0768,0.0012,16.8,651.6,583.3,2
1,5,0.0,0.88011,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0,0.0,0.00055,0.0,0.0,0.0212,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0768,0.0012,15.4,557.0,513.0,4
2,4,0.0,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,10.5,320.0,300.0,2
3,4,0.0,0.9925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,4.5,280.0,265.0,2
4,4,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,325.0,290.0,2
5,4,0.0,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,7.5,270.0,220.0,2
6,4,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,190.0,90.0,2
7,4,0.0,0.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,13.0,430.0,350.0,2
8,4,0.0,0.9545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,,460.0,415.0,2
9,4,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,8.0,530.0,410.0,2
10,2,0.0007,0.9208,0.0,0.0,0.0,0.0,0.0,0.0,0.0637,0.0,0.0,0.0057,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0066,0.0,1.8,135.0,80.0,1
11,2,0.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0,0.0,0.006,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0068,0.0,1.8,135.0,85.0,1
12,2,0.0003,0.9153,0.0,0.0,0.0,0.0,0.0,0.0,0.0678,0.0,0.0,0.0062,0.0,0.0,0.0001,0.0019,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0076,0.0,2.0,165.0,100.0,1
13,2,0.001,0.9151,0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,0.0061,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0073,0.0,1.8,150.0,90.0,1
14,2,0.0,0.9233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,4.2,183.0,,1
15,2,0.0,0.9223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,3.5,189.0,,1
16,2,0.0,0.9213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,3.2,191.0,,1
17,2,0.0,0.9203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,2.4,195.3,,1
